complaint_id,created_at,language,complaint_text,normalized_text,category,department,priority,location_type,specific_location,affected_population,safety_flag,repeat_count,is_duplicate,duplicate_of_id,resolution_time_hours,status,resolution_notes
CMP-02766,2026-01-02 10:20:00,ta,Route 2 Bus Stop இல் வளாக பேருந்து தாமதமாக வந்தது. உடனடியாக நடவடிக்கை எடுக்கவும்.,route 2 bus stop இல வள க ப ர ந த த மதம க வந தத உடனட ய க நடவட க க எட க கவ ம,Transport and Parking,Transport Cell,Critical,Parking,Route 2 Bus Stop,34,0,0,0,,8.96,Resolved,Synthetic resolution record
CMP-03772,2026-01-02 12:41:00,ta,Boys Hostel Block B பகுதியில் அறை சுத்தம் செய்யப்படவில்லை. தயவுசெய்து சரிசெய்யவும்.,boys hostel block b பக த ய ல அற ச த தம ச ய யப படவ ல ல தயவ ச ய த சர ச ய யவ ம,Hostel and Accommodation,Hostel Administration,Medium,Hostel,Boys Hostel Block B,160,0,3,1,CMP-01053,38.02,Open,
CMP-03549,2026-01-02 13:25:00,ta_en,bus route notice illama change pannitanga at Route 2 Bus Stop. Kindly action edunga.,bus route notice illama change pannitanga at route 2 bus stop kindly action edunga,Transport and Parking,Transport Cell,Critical,Parking,Route 2 Bus Stop,42,0,1,1,CMP-02766,10.64,Closed,Synthetic resolution record
CMP-02569,2026-01-02 13:30:00,ta_en,garbage accumulate aagiruku at Girls Hostel Washroom. Kindly action edunga.,garbage accumulate aagiruku at girls hostel washroom kindly action edunga,Cleanliness and Waste,Housekeeping and Sanitation,High,Campus Road,Girls Hostel Washroom,102,0,2,0,,4.38,Open,
CMP-00656,2026-01-02 14:38:00,ta_en,fan work aagala at Hostel Block B. Kindly action edunga.,fan work aagala at hostel block b kindly action edunga,Electrical and Power,Electrical Maintenance,Medium,Hostel,Hostel Block B,144,0,2,0,,13.72,In Progress,
CMP-03012,2026-01-02 16:21:00,en,I want to report that the student portal is not loading in Central Library Reading Hall.,i want to report that the student portal is not loading in central library reading hall,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Laboratory,Central Library Reading Hall,24,0,2,1,CMP-00642,3.34,Open,
CMP-01991,2026-01-02 16:23:00,ta,Accounts Office பகுதியில் அடையாள அட்டை கோரிக்கை தாமதமாகிறது. தயவுசெய்து சரிசெய்யவும்.,accounts office பக த ய ல அட ய ள அட ட க ர க க த மதம க றத தயவ ச ய த சர ச ய யவ ம,Administration and Documents,Administrative Office,Low,Office,Accounts Office,25,0,0,0,,116.97,In Progress,
CMP-02861,2026-01-02 17:47:00,ta_en,wifi work aagala at Computer Laboratory. Kindly action edunga.,wifi work aagala at computer laboratory kindly action edunga,Wi-Fi and IT Services,IT Support and Network Cell,High,Classroom,Computer Laboratory,52,0,1,0,,23.53,Resolved,Synthetic resolution record
CMP-00195,2026-01-02 19:13:00,ta_en,current supply illa at Computer Laboratory. Kindly action edunga.,current supply illa at computer laboratory kindly action edunga,Electrical and Power,Electrical Maintenance,Medium,Campus Building,Computer Laboratory,242,0,0,0,,24.94,Resolved,Synthetic resolution record
CMP-03080,2026-01-03 08:05:00,en,Urgent attention is needed because the drinking water dispenser is not working in Main Canteen.,urgent attention is needed because the drinking water dispenser is not working in main canteen,Food and Canteen,Canteen Committee,High,Canteen,Main Canteen,156,1,3,1,CMP-02238,10.36,Resolved,Synthetic resolution record
CMP-01472,2026-01-03 10:01:00,en,There is a problem because the room has a damaged window at Hostel Room 214.,there is a problem because the room has a damaged window at hostel room 214,Hostel and Accommodation,Hostel Administration,High,Hostel,Hostel Room 214,122,0,0,0,,27.14,Open,
CMP-02635,2026-01-03 11:42:00,en,Please check the water tank is overflowing at Engineering Block.,please check the water tank is overflowing at engineering block,Water and Plumbing,Plumbing and Civil Maintenance,Critical,Campus Building,Engineering Block,121,0,0,0,,2.49,Resolved,Synthetic resolution record
CMP-01416,2026-01-03 12:41:00,ta_en,Computer Laboratory area la classroom bench broken ah iruku.,computer laboratory area la classroom bench broken ah iruku,Classroom and Laboratory,Academic Infrastructure,Medium,Classroom,Computer Laboratory,35,0,2,0,,18.37,Open,
CMP-01068,2026-01-03 12:59:00,ta_en,water supply varala at Girls Hostel Washroom. Kindly action edunga.,water supply varala at girls hostel washroom kindly action edunga,Water and Plumbing,Plumbing and Civil Maintenance,Low,Hostel,Girls Hostel Washroom,133,0,0,0,,16.74,Open,
CMP-00224,2026-01-03 13:12:00,ta,ஆய்வக உபகரணம் வேலை செய்யவில்லை பிரச்சனை C-101 இடத்தில் உள்ளது.,ஆய வக உபகரணம வ ல ச ய யவ ல ல ப ரச சன c 101 இடத த ல உள ளத,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,C-101,70,0,1,0,,17.31,Resolved,Synthetic resolution record
CMP-02322,2026-01-03 13:54:00,en,There is a problem because there is a broken glass panel at Library Entrance.,there is a problem because there is a broken glass panel at library entrance,Safety and Security,Security Office,Critical,Parking,Library Entrance,79,1,1,0,,4.24,Resolved,Synthetic resolution record
CMP-02258,2026-01-03 15:08:00,ta,Engineering Block பகுதியில் படிக்கட்டு கைப்பிடி தளர்வாக உள்ளது. தயவுசெய்து சரிசெய்யவும்.,engineering block பக த ய ல பட க கட ட க ப ப ட தளர வ க உள ளத தயவ ச ய த சர ச ய யவ ம,Safety and Security,Security Office,Medium,Hostel,Engineering Block,102,1,0,0,,1.36,Resolved,Synthetic resolution record
CMP-02742,2026-01-03 17:10:00,ta_en,"Library Entrance la unauthorized person hostel area la vandhirukanga, immediate ah solve pannunga.",library entrance la unauthorized person hostel area la vandhirukanga immediate ah solve pannunga,Safety and Security,Security Office,Medium,Campus Road,Library Entrance,108,1,0,0,,1.75,In Progress,
CMP-00686,2026-01-03 18:32:00,ta_en,"Student Service Centre la scholarship status update aagala, immediate ah solve pannunga.",student service centre la scholarship status update aagala immediate ah solve pannunga,Administration and Documents,Administrative Office,Low,Office,Student Service Centre,22,0,2,0,,46.98,Resolved,Synthetic resolution record
CMP-03605,2026-01-03 19:20:00,en,Urgent attention is needed because the scholarship application status is not updated in Accounts Office.,urgent attention is needed because the scholarship application status is not updated in accounts office,Administration and Documents,Administrative Office,Low,Office,Accounts Office,8,0,2,1,CMP-02261,154.87,In Progress,
CMP-00355,2026-01-03 19:59:00,ta,Scholarship Office இல் கட்டண செலுத்துதல் தளத்தில் புதுப்பிக்கப்படவில்லை. உடனடியாக நடவடிக்கை எடுக்கவும்.,scholarship office இல கட டண ச ல த த தல தளத த ல ப த ப ப க கப படவ ல ல உடனட ய க நடவட க க எட க கவ ம,Administration and Documents,Administrative Office,Medium,Office,Scholarship Office,10,0,1,0,,23.38,In Progress,
CMP-01515,2026-01-03 20:38:00,ta,கழிவறை குழாய் உடைந்துள்ளது பிரச்சனை Hostel Block C இடத்தில் உள்ளது.,கழ வற க ழ ய உட ந த ள ளத ப ரச சன hostel block c இடத த ல உள ளத,Water and Plumbing,Plumbing and Civil Maintenance,Medium,Hostel,Hostel Block C,183,0,0,0,,15.2,Open,
CMP-03701,2026-01-03 23:57:00,ta_en,C-101 area la lab equipment work aagala.,c 101 area la lab equipment work aagala,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,C-101,60,0,2,1,CMP-00224,12.0,Resolved,Synthetic resolution record
CMP-03386,2026-01-04 07:42:00,ta_en,"Engineering Block la pipe la water leak aagudhu, immediate ah solve pannunga.",engineering block la pipe la water leak aagudhu immediate ah solve pannunga,Water and Plumbing,Plumbing and Civil Maintenance,Critical,Campus Building,Engineering Block,250,0,1,1,CMP-02635,3.21,In Progress,
CMP-02465,2026-01-04 08:51:00,ta,உணவின் தரம் மோசமாக உள்ளது பிரச்சனை North Canteen இடத்தில் உள்ளது.,உணவ ன தரம ம சம க உள ளத ப ரச சன north canteen இடத த ல உள ளத,Food and Canteen,Canteen Committee,Low,Canteen,North Canteen,128,0,2,0,,6.72,Closed,Synthetic resolution record
CMP-01639,2026-01-04 09:56:00,en,I want to report that the room has a damaged window in Hostel Room 214.,i want to report that the room has a damaged window in hostel room 214,Hostel and Accommodation,Hostel Administration,High,Hostel,Hostel Room 214,193,0,1,0,,22.83,Open,
CMP-00078,2026-01-04 12:34:00,ta,Central Library இல் ஈஆர்பி உள்நுழைவு தோல்வியடைந்தது. உடனடியாக நடவடிக்கை எடுக்கவும்.,central library இல ஈஆர ப உள ந ழ வ த ல வ யட ந தத உடனட ய க நடவட க க எட க கவ ம,Wi-Fi and IT Services,IT Support and Network Cell,High,Laboratory,Central Library,43,0,0,0,,19.15,Resolved,Synthetic resolution record
CMP-01567,2026-01-04 12:53:00,en,I want to report that the mattress is damaged in Boys Hostel Block B.,i want to report that the mattress is damaged in boys hostel block b,Hostel and Accommodation,Hostel Administration,Low,Hostel,Boys Hostel Block B,64,0,2,0,,34.36,Closed,Synthetic resolution record
CMP-03689,2026-01-04 15:27:00,ta_en,classroom ventilation poor ah iruku at Electronics Laboratory. Kindly action edunga.,classroom ventilation poor ah iruku at electronics laboratory kindly action edunga,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,Electronics Laboratory,30,0,3,1,CMP-02929,35.49,Resolved,Synthetic resolution record
CMP-02576,2026-01-04 15:34:00,ta,Hostel Block B இல் மின்பலகையின் அருகில் தண்ணீர் கசிகிறது. உடனடியாக நடவடிக்கை எடுக்கவும்.,hostel block b இல ம ன பலக ய ன அர க ல தண ண ர கச க றத உடனட ய க நடவட க க எட க கவ ம,Safety and Security,Security Office,Medium,Campus Road,Hostel Block B,133,1,2,0,,2.78,Open,
CMP-01364,2026-01-04 16:14:00,ta_en,North Canteen area la food hygiene illa.,north canteen area la food hygiene illa,Food and Canteen,Canteen Committee,Medium,Canteen,North Canteen,60,0,2,0,,16.42,Resolved,Synthetic resolution record
CMP-03354,2026-01-04 16:56:00,ta,மின்விசிறி வேலை செய்யவில்லை பிரச்சனை Computer Laboratory இடத்தில் உள்ளது.,ம ன வ ச ற வ ல ச ய யவ ல ல ப ரச சன computer laboratory இடத த ல உள ளத,Electrical and Power,Electrical Maintenance,Medium,Campus Building,Computer Laboratory,66,0,1,1,CMP-00195,12.42,In Progress,
CMP-00930,2026-01-04 18:04:00,ta,Girls Hostel Block B பகுதியில் மெத்தை சேதமடைந்துள்ளது. தயவுசெய்து சரிசெய்யவும்.,girls hostel block b பக த ய ல ம த த ச தமட ந த ள ளத தயவ ச ய த சர ச ய யவ ம,Hostel and Accommodation,Hostel Administration,High,Hostel,Girls Hostel Block B,99,0,1,0,,12.48,Resolved,Synthetic resolution record
CMP-02224,2026-01-04 18:15:00,ta_en,Student Service Centre la marksheet correction pending la iruku. Please check pannunga.,student service centre la marksheet correction pending la iruku please check pannunga,Administration and Documents,Administrative Office,Low,Office,Student Service Centre,1,0,1,0,,240.0,Resolved,Synthetic resolution record
CMP-01348,2026-01-04 18:34:00,ta_en,Examination Cell la fee payment portal la update aagala. Please check pannunga.,examination cell la fee payment portal la update aagala please check pannunga,Administration and Documents,Administrative Office,Low,Office,Examination Cell,20,0,0,0,,210.88,Closed,Synthetic resolution record
CMP-00437,2026-01-04 19:07:00,en,I want to report that the classroom has poor ventilation in C-305.,i want to report that the classroom has poor ventilation in c 305,Classroom and Laboratory,Academic Infrastructure,High,Laboratory,C-305,78,0,2,0,,16.75,Resolved,Synthetic resolution record
CMP-02963,2026-01-04 19:20:00,en,I want to report that the bus is overcrowded in Route 1 Bus Stop.,i want to report that the bus is overcrowded in route 1 bus stop,Transport and Parking,Transport Cell,Medium,Parking,Route 1 Bus Stop,83,0,2,0,,13.33,Open,
CMP-00716,2026-01-04 20:53:00,ta_en,Hostel Block A la switch damage aagiruku. Please check pannunga.,hostel block a la switch damage aagiruku please check pannunga,Electrical and Power,Electrical Maintenance,Low,Campus Building,Hostel Block A,83,0,2,0,,10.2,Open,
CMP-03649,2026-01-05 00:03:00,en,There is a problem because the washroom tap is broken at Girls Hostel Washroom.,there is a problem because the washroom tap is broken at girls hostel washroom,Water and Plumbing,Plumbing and Civil Maintenance,Low,Hostel,Girls Hostel Washroom,198,0,1,1,CMP-01068,5.98,Resolved,Synthetic resolution record
CMP-03796,2026-01-05 01:40:00,en,Please check the scholarship application status is not updated at Accounts Office.,please check the scholarship application status is not updated at accounts office,Administration and Documents,Administrative Office,Low,Office,Accounts Office,4,0,1,1,CMP-01991,161.73,In Progress,
CMP-03419,2026-01-05 07:35:00,en,I want to report that water is leaking near an electrical panel in Engineering Block.,i want to report that water is leaking near an electrical panel in engineering block,Safety and Security,Security Office,Medium,Hostel,Engineering Block,185,1,1,1,CMP-02258,2.09,Open,
CMP-01816,2026-01-05 09:30:00,ta_en,Parking Area la campus street light work aagala. Please check pannunga.,parking area la campus street light work aagala please check pannunga,Safety and Security,Security Office,High,Parking,Parking Area,51,1,1,0,,1.68,Resolved,Synthetic resolution record
CMP-00580,2026-01-05 09:42:00,ta,C-305 பகுதியில் மின்விசிறி வேலை செய்யவில்லை. தயவுசெய்து சரிசெய்யவும்.,c 305 பக த ய ல ம ன வ ச ற வ ல ச ய யவ ல ல தயவ ச ய த சர ச ய யவ ம,Electrical and Power,Electrical Maintenance,Medium,Classroom,C-305,26,0,2,0,,8.85,Closed,Synthetic resolution record
CMP-01737,2026-01-05 10:23:00,en,Urgent attention is needed because the electrical switch is damaged in Engineering Block.,urgent attention is needed because the electrical switch is damaged in engineering block,Electrical and Power,Electrical Maintenance,Medium,Hostel,Engineering Block,21,0,1,0,,8.73,In Progress,
CMP-01700,2026-01-05 11:39:00,en,Urgent attention is needed because an unauthorized person entered the hostel area in Campus Road.,urgent attention is needed because an unauthorized person entered the hostel area in campus road,Safety and Security,Security Office,Medium,Hostel,Campus Road,34,1,0,0,,9.93,Closed,Synthetic resolution record
CMP-01607,2026-01-05 13:54:00,en,Please check the scholarship application status is not updated at Scholarship Office.,please check the scholarship application status is not updated at scholarship office,Administration and Documents,Administrative Office,High,Office,Scholarship Office,2,0,0,0,,31.22,Closed,Synthetic resolution record
CMP-01844,2026-01-05 16:57:00,ta_en,Computer Laboratory area la AC work aagala.,computer laboratory area la ac work aagala,Classroom and Laboratory,Academic Infrastructure,High,Laboratory,Computer Laboratory,66,0,0,0,,10.24,Open,
CMP-01663,2026-01-05 19:32:00,ta_en,Library Washroom area la waste area pakkathula bad smell iruku.,library washroom area la waste area pakkathula bad smell iruku,Cleanliness and Waste,Housekeeping and Sanitation,High,Washroom,Library Washroom,76,0,1,0,,3.36,Open,
CMP-02038,2026-01-05 19:53:00,ta_en,Computer Laboratory la current supply illa. Please check pannunga.,computer laboratory la current supply illa please check pannunga,Electrical and Power,Electrical Maintenance,Medium,Laboratory,Computer Laboratory,69,0,0,0,,6.71,In Progress,
CMP-02971,2026-01-05 20:05:00,ta_en,Hostel Block A area la internet romba slow ah iruku.,hostel block a area la internet romba slow ah iruku,Wi-Fi and IT Services,IT Support and Network Cell,Low,Classroom,Hostel Block A,55,0,2,0,,34.15,Resolved,Synthetic resolution record
CMP-03574,2026-01-06 08:38:00,ta_en,"Hostel Block C la toilet block aagiruku, immediate ah solve pannunga.",hostel block c la toilet block aagiruku immediate ah solve pannunga,Water and Plumbing,Plumbing and Civil Maintenance,Medium,Hostel,Hostel Block C,60,0,1,1,CMP-01515,15.85,Resolved,Synthetic resolution record
CMP-03400,2026-01-06 09:35:00,en,Urgent attention is needed because the projector is not displaying in Computer Laboratory.,urgent attention is needed because the projector is not displaying in computer laboratory,Classroom and Laboratory,Academic Infrastructure,Medium,Classroom,Computer Laboratory,42,0,3,1,CMP-01416,21.52,Resolved,Synthetic resolution record
CMP-00948,2026-01-06 10:07:00,ta_en,Hostel Block A area la student portal load aagala.,hostel block a area la student portal load aagala,Wi-Fi and IT Services,IT Support and Network Cell,High,Laboratory,Hostel Block A,47,0,2,0,,9.97,Open,
CMP-02218,2026-01-06 11:06:00,ta_en,glass panel broken ah iruku at Campus Road. Kindly action edunga.,glass panel broken ah iruku at campus road kindly action edunga,Safety and Security,Security Office,Medium,Parking,Campus Road,107,1,1,0,,10.67,Resolved,Synthetic resolution record
CMP-01777,2026-01-06 11:26:00,ta,Hostel Block B பகுதியில் ஈஆர்பி உள்நுழைவு தோல்வியடைந்தது. தயவுசெய்து சரிசெய்யவும்.,hostel block b பக த ய ல ஈஆர ப உள ந ழ வ த ல வ யட ந தத தயவ ச ய த சர ச ய யவ ம,Wi-Fi and IT Services,IT Support and Network Cell,Low,Hostel,Hostel Block B,179,0,0,0,,18.54,Open,
CMP-02076,2026-01-06 12:55:00,ta,வாகனம் வளாக நுழைவாயிலை மறைத்துள்ளது பிரச்சனை Route 1 Bus Stop இடத்தில் உள்ளது.,வ கனம வள க ந ழ வ ய ல மற த த ள ளத ப ரச சன route 1 bus stop இடத த ல உள ளத,Transport and Parking,Transport Cell,High,Parking,Route 1 Bus Stop,74,0,0,0,,29.02,In Progress,
CMP-02909,2026-01-06 13:03:00,ta,வைஃபை வேலை செய்யவில்லை பிரச்சனை Hostel Block A இடத்தில் உள்ளது.,வ ஃப வ ல ச ய யவ ல ல ப ரச சன hostel block a இடத த ல உள ளத,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Hostel,Hostel Block A,150,0,1,0,,31.41,In Progress,
CMP-03833,2026-01-06 14:06:00,ta_en,C-305 la current supply illa. Please check pannunga.,c 305 la current supply illa please check pannunga,Electrical and Power,Electrical Maintenance,Medium,Classroom,C-305,42,0,3,1,CMP-00580,6.66,In Progress,
CMP-01618,2026-01-06 14:51:00,ta_en,campus street light work aagala at Hostel Block B. Kindly action edunga.,campus street light work aagala at hostel block b kindly action edunga,Safety and Security,Security Office,Critical,Campus Road,Hostel Block B,41,1,1,0,,2.26,In Progress,
CMP-00530,2026-01-06 16:41:00,en,I want to report that the campus street light is not working in Campus Road.,i want to report that the campus street light is not working in campus road,Safety and Security,Security Office,Medium,Parking,Campus Road,21,1,2,0,,10.42,Resolved,Synthetic resolution record
CMP-01587,2026-01-06 17:52:00,en,There is a problem because the ID card request is delayed at Accounts Office.,there is a problem because the id card request is delayed at accounts office,Administration and Documents,Administrative Office,Low,Office,Accounts Office,22,0,2,0,,63.3,Closed,Synthetic resolution record
CMP-00887,2026-01-06 20:10:00,ta_en,"Hostel Room 214 la window damage aagiruku, immediate ah solve pannunga.",hostel room 214 la window damage aagiruku immediate ah solve pannunga,Hostel and Accommodation,Hostel Administration,Medium,Hostel,Hostel Room 214,183,0,0,0,,26.62,Resolved,Synthetic resolution record
CMP-00476,2026-01-06 20:14:00,en,There is a problem because a vehicle is blocking the campus entrance at Route 3 Bus Stop.,there is a problem because a vehicle is blocking the campus entrance at route 3 bus stop,Transport and Parking,Transport Cell,Low,Campus Road,Route 3 Bus Stop,130,0,2,0,,30.87,Resolved,Synthetic resolution record
CMP-01292,2026-01-06 20:35:00,en,Urgent attention is needed because the washroom tap is broken in Hostel Block A.,urgent attention is needed because the washroom tap is broken in hostel block a,Water and Plumbing,Plumbing and Civil Maintenance,Low,Washroom,Hostel Block A,95,0,2,0,,22.04,Closed,Synthetic resolution record
CMP-03436,2026-01-07 09:03:00,ta_en,Hostel Block A area la washroom tap broken ah iruku.,hostel block a area la washroom tap broken ah iruku,Water and Plumbing,Plumbing and Civil Maintenance,Low,Washroom,Hostel Block A,38,0,3,1,CMP-01292,31.34,Closed,Synthetic resolution record
CMP-03756,2026-01-07 09:40:00,ta,உணவு சுகாதாரமற்றதாக உள்ளது பிரச்சனை North Canteen இடத்தில் உள்ளது.,உணவ ச க த ரமற றத க உள ளத ப ரச சன north canteen இடத த ல உள ளத,Food and Canteen,Canteen Committee,Medium,Canteen,North Canteen,89,0,3,1,CMP-01364,3.08,Resolved,Synthetic resolution record
CMP-02765,2026-01-07 09:47:00,en,Urgent attention is needed because the classroom bench is broken in AI Laboratory.,urgent attention is needed because the classroom bench is broken in ai laboratory,Classroom and Laboratory,Academic Infrastructure,Medium,Classroom,AI Laboratory,53,0,0,0,,22.18,In Progress,
CMP-03591,2026-01-07 10:39:00,ta,Boys Hostel Block B பகுதியில் மெத்தை சேதமடைந்துள்ளது. தயவுசெய்து சரிசெய்யவும்.,boys hostel block b பக த ய ல ம த த ச தமட ந த ள ளத தயவ ச ய த சர ச ய யவ ம,Hostel and Accommodation,Hostel Administration,Low,Hostel,Boys Hostel Block B,205,0,3,1,CMP-01567,13.61,Open,
CMP-02517,2026-01-07 11:11:00,ta,Electronics Laboratory பகுதியில் ப்ரொஜெக்டர் காட்சி அளிக்கவில்லை. தயவுசெய்து சரிசெய்யவும்.,electronics laboratory பக த ய ல ப ர ஜ க டர க ட ச அள க கவ ல ல தயவ ச ய த சர ச ய யவ ம,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,Electronics Laboratory,49,0,2,0,,26.95,Open,
CMP-02368,2026-01-07 11:42:00,en,Please check the campus bus arrived late at Route 2 Bus Stop.,please check the campus bus arrived late at route 2 bus stop,Transport and Parking,Transport Cell,Low,Parking,Route 2 Bus Stop,21,0,1,0,,38.73,Resolved,Synthetic resolution record
CMP-03878,2026-01-07 12:12:00,en,Urgent attention is needed because the bus is overcrowded in Route 1 Bus Stop.,urgent attention is needed because the bus is overcrowded in route 1 bus stop,Transport and Parking,Transport Cell,High,Parking,Route 1 Bus Stop,43,0,1,1,CMP-02076,27.8,Resolved,Synthetic resolution record
CMP-01982,2026-01-07 13:08:00,en,Urgent attention is needed because there is a bad smell near the waste area in Library Washroom.,urgent attention is needed because there is a bad smell near the waste area in library washroom,Cleanliness and Waste,Housekeeping and Sanitation,Low,Campus Road,Library Washroom,149,0,2,0,,2.5,In Progress,
CMP-01994,2026-01-07 13:23:00,ta,Campus Road பகுதியில் வளாக தெருவிளக்கு வேலை செய்யவில்லை. தயவுசெய்து சரிசெய்யவும்.,campus road பக த ய ல வள க த ர வ ளக க வ ல ச ய யவ ல ல தயவ ச ய த சர ச ய யவ ம,Safety and Security,Security Office,Medium,Parking,Campus Road,68,1,1,0,,1.94,Closed,Synthetic resolution record
CMP-02290,2026-01-07 13:24:00,ta,Hostel Room 312 இல் அறை கதவு பூட்டு உடைந்துள்ளது. உடனடியாக நடவடிக்கை எடுக்கவும்.,hostel room 312 இல அற கதவ ப ட ட உட ந த ள ளத உடனட ய க நடவட க க எட க கவ ம,Hostel and Accommodation,Hostel Administration,High,Hostel,Hostel Room 312,127,0,1,0,,28.12,Resolved,Synthetic resolution record
