complaint_id,complaint_text,normalized_text,category,department,priority,location_type,specific_location,is_duplicate,duplicate_of_id
CMP-02909,வைஃபை வேலை செய்யவில்லை பிரச்சனை Hostel Block A இடத்தில் உள்ளது.,வ ஃப வ ல ச ய யவ ல ல ப ரச சன hostel block a இடத த ல உள ளத,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Hostel,Hostel Block A,0,
CMP-03833,C-305 la current supply illa. Please check pannunga.,c 305 la current supply illa please check pannunga,Electrical and Power,Electrical Maintenance,Medium,Classroom,C-305,1,CMP-00580
CMP-01618,campus street light work aagala at Hostel Block B. Kindly action edunga.,campus street light work aagala at hostel block b kindly action edunga,Safety and Security,Security Office,Critical,Campus Road,Hostel Block B,0,
CMP-00530,I want to report that the campus street light is not working in Campus Road.,i want to report that the campus street light is not working in campus road,Safety and Security,Security Office,Medium,Parking,Campus Road,0,
CMP-00887,"Hostel Room 214 la window damage aagiruku, immediate ah solve pannunga.",hostel room 214 la window damage aagiruku immediate ah solve pannunga,Hostel and Accommodation,Hostel Administration,Medium,Hostel,Hostel Room 214,0,
CMP-00476,There is a problem because a vehicle is blocking the campus entrance at Route 3 Bus Stop.,there is a problem because a vehicle is blocking the campus entrance at route 3 bus stop,Transport and Parking,Transport Cell,Low,Campus Road,Route 3 Bus Stop,0,
CMP-03756,உணவு சுகாதாரமற்றதாக உள்ளது பிரச்சனை North Canteen இடத்தில் உள்ளது.,உணவ ச க த ரமற றத க உள ளத ப ரச சன north canteen இடத த ல உள ளத,Food and Canteen,Canteen Committee,Medium,Canteen,North Canteen,1,CMP-01364
CMP-02517,Electronics Laboratory பகுதியில் ப்ரொஜெக்டர் காட்சி அளிக்கவில்லை. தயவுசெய்து சரிசெய்யவும்.,electronics laboratory பக த ய ல ப ர ஜ க டர க ட ச அள க கவ ல ல தயவ ச ய த சர ச ய யவ ம,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,Electronics Laboratory,0,
CMP-02368,Please check the campus bus arrived late at Route 2 Bus Stop.,please check the campus bus arrived late at route 2 bus stop,Transport and Parking,Transport Cell,Low,Parking,Route 2 Bus Stop,0,
CMP-01982,Urgent attention is needed because there is a bad smell near the waste area in Library Washroom.,urgent attention is needed because there is a bad smell near the waste area in library washroom,Cleanliness and Waste,Housekeeping and Sanitation,Low,Campus Road,Library Washroom,0,
CMP-01994,Campus Road பகுதியில் வளாக தெருவிளக்கு வேலை செய்யவில்லை. தயவுசெய்து சரிசெய்யவும்.,campus road பக த ய ல வள க த ர வ ளக க வ ல ச ய யவ ல ல தயவ ச ய த சர ச ய யவ ம,Safety and Security,Security Office,Medium,Parking,Campus Road,0,
CMP-02290,Hostel Room 312 இல் அறை கதவு பூட்டு உடைந்துள்ளது. உடனடியாக நடவடிக்கை எடுக்கவும்.,hostel room 312 இல அற கதவ ப ட ட உட ந த ள ளத உடனட ய க நடவட க க எட க கவ ம,Hostel and Accommodation,Hostel Administration,High,Hostel,Hostel Room 312,0,
CMP-01829,Please check the room door lock is broken at Girls Hostel Block A.,please check the room door lock is broken at girls hostel block a,Hostel and Accommodation,Hostel Administration,High,Hostel,Girls Hostel Block A,0,
CMP-02700,Route 1 Bus Stop பகுதியில் வளாக பேருந்து தாமதமாக வந்தது. தயவுசெய்து சரிசெய்யவும்.,route 1 bus stop பக த ய ல வள க ப ர ந த த மதம க வந தத தயவ ச ய த சர ச ய யவ ம,Transport and Parking,Transport Cell,Medium,Parking,Route 1 Bus Stop,0,
CMP-00469,College Entrance area la bus route notice illama change pannitanga.,college entrance area la bus route notice illama change pannitanga,Transport and Parking,Transport Cell,High,Parking,College Entrance,0,
CMP-01722,Urgent attention is needed because the bus is overcrowded in Route 3 Bus Stop.,urgent attention is needed because the bus is overcrowded in route 3 bus stop,Transport and Parking,Transport Cell,Medium,Campus Road,Route 3 Bus Stop,0,
CMP-03391,I want to report that the Wi-Fi is not working in Hostel Block A.,i want to report that the wi fi is not working in hostel block a,Wi-Fi and IT Services,IT Support and Network Cell,High,Laboratory,Hostel Block A,1,CMP-00948
CMP-00214,I want to report that the water tank is overflowing in Engineering Block.,i want to report that the water tank is overflowing in engineering block,Water and Plumbing,Plumbing and Civil Maintenance,Critical,Canteen,Engineering Block,0,
CMP-00188,I want to report that the drinking water dispenser is not working in North Canteen.,i want to report that the drinking water dispenser is not working in north canteen,Food and Canteen,Canteen Committee,High,Canteen,North Canteen,0,
CMP-03883,Girls Hostel Block A பகுதியில் அறை கதவு பூட்டு உடைந்துள்ளது. தயவுசெய்து சரிசெய்யவும்.,girls hostel block a பக த ய ல அற கதவ ப ட ட உட ந த ள ளத தயவ ச ய த சர ச ய யவ ம,Hostel and Accommodation,Hostel Administration,High,Hostel,Girls Hostel Block A,1,CMP-01829
CMP-03187,glass panel broken ah iruku at Campus Road. Kindly action edunga.,glass panel broken ah iruku at campus road kindly action edunga,Safety and Security,Security Office,Medium,Parking,Campus Road,1,CMP-01994
CMP-03556,Please check the laboratory computer cannot access the network at Hostel Block A.,please check the laboratory computer cannot access the network at hostel block a,Wi-Fi and IT Services,IT Support and Network Cell,Low,Classroom,Hostel Block A,1,CMP-02971
CMP-00086,AI Laboratory இல் வைஃபை வேலை செய்யவில்லை. உடனடியாக நடவடிக்கை எடுக்கவும்.,ai laboratory இல வ ஃப வ ல ச ய யவ ல ல உடனட ய க நடவட க க எட க கவ ம,Wi-Fi and IT Services,IT Support and Network Cell,High,Laboratory,AI Laboratory,0,
CMP-01553,Girls Hostel Block B இல் ஜன்னல் சேதமடைந்துள்ளது. உடனடியாக நடவடிக்கை எடுக்கவும்.,girls hostel block b இல ஜன னல ச தமட ந த ள ளத உடனட ய க நடவட க க எட க கவ ம,Hostel and Accommodation,Hostel Administration,Low,Hostel,Girls Hostel Block B,0,
CMP-02334,I want to report that the student portal is not loading in Central Library.,i want to report that the student portal is not loading in central library,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Laboratory,Central Library,0,
CMP-03145,Urgent attention is needed because the bus is overcrowded in College Entrance.,urgent attention is needed because the bus is overcrowded in college entrance,Transport and Parking,Transport Cell,High,Parking,College Entrance,1,CMP-00469
CMP-00960,Academic Office இல் கட்டண செலுத்துதல் தளத்தில் புதுப்பிக்கப்படவில்லை. உடனடியாக நடவடிக்கை எடுக்கவும்.,academic office இல கட டண ச ல த த தல தளத த ல ப த ப ப க கப படவ ல ல உடனட ய க நடவட க க எட க கவ ம,Administration and Documents,Administrative Office,Medium,Office,Academic Office,0,
CMP-00919,Please check the toilet is blocked at Boys Hostel Washroom.,please check the toilet is blocked at boys hostel washroom,Water and Plumbing,Plumbing and Civil Maintenance,Medium,Campus Building,Boys Hostel Washroom,0,
CMP-01698,Campus Road area la glass panel broken ah iruku.,campus road area la glass panel broken ah iruku,Safety and Security,Security Office,High,Campus Road,Campus Road,0,
CMP-03713,There is a problem because the laboratory equipment is not functioning at Electronics Laboratory.,there is a problem because the laboratory equipment is not functioning at electronics laboratory,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,Electronics Laboratory,1,CMP-02517
CMP-00891,I want to report that the classroom bench is broken in C-204.,i want to report that the classroom bench is broken in c 204,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,C-204,0,
CMP-02036,"Academic Office la ID card request delay aagudhu, immediate ah solve pannunga.",academic office la id card request delay aagudhu immediate ah solve pannunga,Administration and Documents,Administrative Office,Low,Office,Academic Office,0,
CMP-00470,மின்விசிறி வேலை செய்யவில்லை பிரச்சனை Engineering Block இடத்தில் உள்ளது.,ம ன வ ச ற வ ல ச ய யவ ல ல ப ரச சன engineering block இடத த ல உள ளத,Electrical and Power,Electrical Maintenance,Medium,Campus Building,Engineering Block,0,
CMP-01455,Please check water is leaking from the pipe at Hostel Block C.,please check water is leaking from the pipe at hostel block c,Water and Plumbing,Plumbing and Civil Maintenance,Medium,Campus Building,Hostel Block C,0,
CMP-03783,AI Laboratory la wifi work aagala. Please check pannunga.,ai laboratory la wifi work aagala please check pannunga,Wi-Fi and IT Services,IT Support and Network Cell,High,Laboratory,AI Laboratory,1,CMP-00086
CMP-02947,There is a problem because the food price is incorrect at Hostel Mess.,there is a problem because the food price is incorrect at hostel mess,Food and Canteen,Canteen Committee,Medium,Canteen,Hostel Mess,0,
CMP-00202,Please check the scholarship application status is not updated at Accounts Office.,please check the scholarship application status is not updated at accounts office,Administration and Documents,Administrative Office,Low,Office,Accounts Office,0,
CMP-01580,வளாக பேருந்து தாமதமாக வந்தது பிரச்சனை College Entrance இடத்தில் உள்ளது.,வள க ப ர ந த த மதம க வந தத ப ரச சன college entrance இடத த ல உள ளத,Transport and Parking,Transport Cell,Low,Campus Road,College Entrance,0,
CMP-00949,Urgent attention is needed because the marksheet correction request is pending in Academic Office.,urgent attention is needed because the marksheet correction request is pending in academic office,Administration and Documents,Administrative Office,Medium,Office,Academic Office,0,
CMP-03712,"Academic Office la marksheet correction pending la iruku, immediate ah solve pannunga.",academic office la marksheet correction pending la iruku immediate ah solve pannunga,Administration and Documents,Administrative Office,Medium,Office,Academic Office,1,CMP-00949
CMP-03874,"Hostel Room 312 la cupboard lock work aagala, immediate ah solve pannunga.",hostel room 312 la cupboard lock work aagala immediate ah solve pannunga,Hostel and Accommodation,Hostel Administration,High,Hostel,Hostel Room 312,1,CMP-02290
CMP-02341,Hostel Room 312 பகுதியில் மெத்தை சேதமடைந்துள்ளது. தயவுசெய்து சரிசெய்யவும்.,hostel room 312 பக த ய ல ம த த ச தமட ந த ள ளத தயவ ச ய த சர ச ய யவ ம,Hostel and Accommodation,Hostel Administration,High,Hostel,Hostel Room 312,0,
CMP-01255,I want to report that an unauthorized person entered the hostel area in Library Entrance.,i want to report that an unauthorized person entered the hostel area in library entrance,Safety and Security,Security Office,High,Campus Road,Library Entrance,0,
CMP-00139,Parking Area இல் குப்பை குவிந்துள்ளது. உடனடியாக நடவடிக்கை எடுக்கவும்.,parking area இல க ப ப க வ ந த ள ளத உடனட ய க நடவட க க எட க கவ ம,Cleanliness and Waste,Housekeeping and Sanitation,Low,Campus Road,Parking Area,0,
CMP-01379,Electronics Laboratory பகுதியில் ப்ரொஜெக்டர் காட்சி அளிக்கவில்லை. தயவுசெய்து சரிசெய்யவும்.,electronics laboratory பக த ய ல ப ர ஜ க டர க ட ச அள க கவ ல ல தயவ ச ய த சர ச ய யவ ம,Classroom and Laboratory,Academic Infrastructure,High,Classroom,Electronics Laboratory,0,
CMP-01523,Accounts Office பகுதியில் உதவித்தொகை நிலை புதுப்பிக்கப்படவில்லை. தயவுசெய்து சரிசெய்யவும்.,accounts office பக த ய ல உதவ த த க ந ல ப த ப ப க கப படவ ல ல தயவ ச ய த சர ச ய யவ ம,Administration and Documents,Administrative Office,Low,Office,Accounts Office,0,
CMP-03582,Girls Hostel Block B area la mattress damage aagiruku.,girls hostel block b area la mattress damage aagiruku,Hostel and Accommodation,Hostel Administration,Low,Hostel,Girls Hostel Block B,1,CMP-01553
CMP-03313,Academic Office area la ID card request delay aagudhu.,academic office area la id card request delay aagudhu,Administration and Documents,Administrative Office,Medium,Office,Academic Office,1,CMP-00960
CMP-00817,உணவின் தரம் மோசமாக உள்ளது பிரச்சனை Main Canteen இடத்தில் உள்ளது.,உணவ ன தரம ம சம க உள ளத ப ரச சன main canteen இடத த ல உள ளத,Food and Canteen,Canteen Committee,Medium,Canteen,Main Canteen,0,
CMP-02609,தண்ணீர் வழங்கல் இல்லை பிரச்சனை Boys Hostel Washroom இடத்தில் உள்ளது.,தண ண ர வழங கல இல ல ப ரச சன boys hostel washroom இடத த ல உள ளத,Water and Plumbing,Plumbing and Civil Maintenance,Medium,Hostel,Boys Hostel Washroom,0,
CMP-02540,"Central Library Reading Hall la lab computer network connect aagala, immediate ah solve pannunga.",central library reading hall la lab computer network connect aagala immediate ah solve pannunga,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Classroom,Central Library Reading Hall,0,
CMP-00987,projector display varala at C-204. Kindly action edunga.,projector display varala at c 204 kindly action edunga,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,C-204,0,
CMP-01062,Examination Cell பகுதியில் உதவித்தொகை நிலை புதுப்பிக்கப்படவில்லை. தயவுசெய்து சரிசெய்யவும்.,examination cell பக த ய ல உதவ த த க ந ல ப த ப ப க கப படவ ல ல தயவ ச ய த சர ச ய யவ ம,Administration and Documents,Administrative Office,Medium,Office,Examination Cell,0,
CMP-00976,Hostel Mess la food quality poor ah iruku. Please check pannunga.,hostel mess la food quality poor ah iruku please check pannunga,Food and Canteen,Canteen Committee,Critical,Canteen,Hostel Mess,0,
CMP-02254,I want to report that the scholarship application status is not updated in Accounts Office.,i want to report that the scholarship application status is not updated in accounts office,Administration and Documents,Administrative Office,Medium,Office,Accounts Office,0,
CMP-03078,பொனஃபைடு சான்றிதழ் கோரிக்கை நிலுவையில் உள்ளது பிரச்சனை Accounts Office இடத்தில் உள்ளது.,ப னஃப ட ச ன ற தழ க ர க க ந ல வ ய ல உள ளத ப ரச சன accounts office இடத த ல உள ளத,Administration and Documents,Administrative Office,Low,Office,Accounts Office,1,CMP-00202
CMP-02043,Urgent attention is needed because the mattress is damaged in Hostel Room 214.,urgent attention is needed because the mattress is damaged in hostel room 214,Hostel and Accommodation,Hostel Administration,Medium,Hostel,Hostel Room 214,0,
CMP-02111,Urgent attention is needed because the laboratory equipment is not functioning in Computer Laboratory.,urgent attention is needed because the laboratory equipment is not functioning in computer laboratory,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,Computer Laboratory,0,
CMP-02468,There is a problem because there is a bad smell near the waste area at Parking Area.,there is a problem because there is a bad smell near the waste area at parking area,Cleanliness and Waste,Housekeeping and Sanitation,Low,Washroom,Parking Area,0,
CMP-01127,I want to report that the ERP login is failing in AI Laboratory.,i want to report that the erp login is failing in ai laboratory,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Laboratory,AI Laboratory,0,
CMP-02209,I want to report that there is no water supply in Girls Hostel Washroom.,i want to report that there is no water supply in girls hostel washroom,Water and Plumbing,Plumbing and Civil Maintenance,High,Canteen,Girls Hostel Washroom,0,
CMP-01887,Computer Laboratory பகுதியில் மின்விசிறி வேலை செய்யவில்லை. தயவுசெய்து சரிசெய்யவும்.,computer laboratory பக த ய ல ம ன வ ச ற வ ல ச ய யவ ல ல தயவ ச ய த சர ச ய யவ ம,Electrical and Power,Electrical Maintenance,Low,Classroom,Computer Laboratory,0,
CMP-02751,Urgent attention is needed because the student portal is not loading in AI Laboratory.,urgent attention is needed because the student portal is not loading in ai laboratory,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Classroom,AI Laboratory,0,
CMP-03587,"Engineering Block la current supply illa, immediate ah solve pannunga.",engineering block la current supply illa immediate ah solve pannunga,Electrical and Power,Electrical Maintenance,Medium,Campus Building,Engineering Block,1,CMP-00470
CMP-01586,drinking water dispenser work aagala at North Canteen. Kindly action edunga.,drinking water dispenser work aagala at north canteen kindly action edunga,Food and Canteen,Canteen Committee,High,Canteen,North Canteen,0,
CMP-03066,Parking Area area la dustbin overflow aagudhu.,parking area area la dustbin overflow aagudhu,Cleanliness and Waste,Housekeeping and Sanitation,Low,Campus Road,Parking Area,1,CMP-00139
CMP-01507,வளாக தெருவிளக்கு வேலை செய்யவில்லை பிரச்சனை Hostel Block B இடத்தில் உள்ளது.,வள க த ர வ ளக க வ ல ச ய யவ ல ல ப ரச சன hostel block b இடத த ல உள ளத,Safety and Security,Security Office,Medium,Parking,Hostel Block B,0,
CMP-01320,ப்ரொஜெக்டர் காட்சி அளிக்கவில்லை பிரச்சனை C-101 இடத்தில் உள்ளது.,ப ர ஜ க டர க ட ச அள க கவ ல ல ப ரச சன c 101 இடத த ல உள ளத,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,C-101,0,
CMP-03157,room door lock broken ah iruku at Hostel Room 214. Kindly action edunga.,room door lock broken ah iruku at hostel room 214 kindly action edunga,Hostel and Accommodation,Hostel Administration,Medium,Hostel,Hostel Room 214,1,CMP-02043
CMP-01826,corridor light eriyala at Computer Laboratory. Kindly action edunga.,corridor light eriyala at computer laboratory kindly action edunga,Electrical and Power,Electrical Maintenance,Medium,Hostel,Computer Laboratory,0,
CMP-00117,Examination Cell இல் பொனஃபைடு சான்றிதழ் கோரிக்கை நிலுவையில் உள்ளது. உடனடியாக நடவடிக்கை எடுக்கவும்.,examination cell இல ப னஃப ட ச ன ற தழ க ர க க ந ல வ ய ல உள ளத உடனட ய க நடவட க க எட க கவ ம,Administration and Documents,Administrative Office,High,Office,Examination Cell,0,
CMP-02698,Library Washroom பகுதியில் கழிவறை சுத்தம் செய்யப்படவில்லை. தயவுசெய்து சரிசெய்யவும்.,library washroom பக த ய ல கழ வற ச த தம ச ய யப படவ ல ல தயவ ச ய த சர ச ய யவ ம,Cleanliness and Waste,Housekeeping and Sanitation,High,Washroom,Library Washroom,0,
CMP-02828,கழிவறை சுத்தம் செய்யப்படவில்லை பிரச்சனை Library Washroom இடத்தில் உள்ளது.,கழ வற ச த தம ச ய யப படவ ல ல ப ரச சன library washroom இடத த ல உள ளத,Cleanliness and Waste,Housekeeping and Sanitation,Medium,Canteen,Library Washroom,0,
