complaint_id,created_at,complaint_text,category,language,actual_is_duplicate,actual_duplicate_of_id,top_match_id,top_similarity,candidate_ids,original_rank,top1_exact_original_match,top5_exact_original_match
CMP-00642,2026-01-02 09:55:00,Central Library Reading Hall la ERP login aagala. Please check pannunga.,Wi-Fi and IT Services,ta_en,0,,CMP-03802,0.7839,CMP-03802|CMP-01107|CMP-01646|CMP-02888|CMP-00665,,0,0
CMP-02766,2026-01-02 10:20:00,Route 2 Bus Stop இல் வளாக பேருந்து தாமதமாக வந்தது. உடனடியாக நடவடிக்கை எடுக்கவும்.,Transport and Parking,ta,0,,CMP-00402,0.7226,CMP-00402|CMP-02141|CMP-01623|CMP-01501|CMP-01053,,0,0
CMP-03772,2026-01-02 12:41:00,Boys Hostel Block B பகுதியில் அறை சுத்தம் செய்யப்படவில்லை. தயவுசெய்து சரிசெய்யவும்.,Hostel and Accommodation,ta,1,CMP-01053,CMP-01053,0.7515,CMP-01053|CMP-01501|CMP-00665|CMP-01646|CMP-01623,1.0,1,1
CMP-03549,2026-01-02 13:25:00,bus route notice illama change pannitanga at Route 2 Bus Stop. Kindly action edunga.,Transport and Parking,ta_en,1,CMP-02766,CMP-00402,0.7138,CMP-00402|CMP-02766|CMP-02141|CMP-02238|CMP-01485,2.0,0,1
CMP-02569,2026-01-02 13:30:00,garbage accumulate aagiruku at Girls Hostel Washroom. Kindly action edunga.,Cleanliness and Waste,ta_en,0,,CMP-00665,0.7122,CMP-00665|CMP-01501|CMP-01646|CMP-03772|CMP-01053,,0,0
CMP-00656,2026-01-02 14:38:00,fan work aagala at Hostel Block B. Kindly action edunga.,Electrical and Power,ta_en,0,,CMP-01501,0.6029,CMP-01501|CMP-02569|CMP-00642|CMP-00665|CMP-01053,,0,0
CMP-03012,2026-01-02 16:21:00,I want to report that the student portal is not loading in Central Library Reading Hall.,Wi-Fi and IT Services,en,1,CMP-00642,CMP-03802,0.6765,CMP-03802|CMP-00642|CMP-01107|CMP-02929|CMP-03772,2.0,0,1
CMP-01991,2026-01-02 16:23:00,Accounts Office பகுதியில் அடையாள அட்டை கோரிக்கை தாமதமாகிறது. தயவுசெய்து சரிசெய்யவும்.,Administration and Documents,ta,0,,CMP-02261,0.5031,CMP-02261|CMP-02888|CMP-00642|CMP-02569|CMP-03802,,0,0
CMP-02861,2026-01-02 17:47:00,wifi work aagala at Computer Laboratory. Kindly action edunga.,Wi-Fi and IT Services,ta_en,0,,CMP-01485,0.4939,CMP-01485|CMP-02733|CMP-01646|CMP-00656|CMP-01107,,0,0
CMP-00195,2026-01-02 19:13:00,current supply illa at Computer Laboratory. Kindly action edunga.,Electrical and Power,ta_en,0,,CMP-02861,0.612,CMP-02861|CMP-02733|CMP-01073|CMP-01485|CMP-02929,,0,0
CMP-03080,2026-01-03 08:05:00,Urgent attention is needed because the drinking water dispenser is not working in Main Canteen.,Food and Canteen,en,1,CMP-02238,CMP-01623,0.5689,CMP-01623|CMP-02039|CMP-00665|CMP-02238|CMP-03012,4.0,0,1
CMP-01472,2026-01-03 10:01:00,There is a problem because the room has a damaged window at Hostel Room 214.,Hostel and Accommodation,en,0,,CMP-03772,0.6613,CMP-03772|CMP-01053|CMP-01501|CMP-01646|CMP-02569,,0,0
CMP-02635,2026-01-03 11:42:00,Please check the water tank is overflowing at Engineering Block.,Water and Plumbing,en,0,,CMP-01073,0.5856,CMP-01073|CMP-00665|CMP-02733|CMP-03080|CMP-02569,,0,0
CMP-01416,2026-01-03 12:41:00,Computer Laboratory area la classroom bench broken ah iruku.,Classroom and Laboratory,ta_en,0,,CMP-02733,0.5947,CMP-02733|CMP-01646|CMP-02929|CMP-01107|CMP-00195,,0,0
CMP-01068,2026-01-03 12:59:00,water supply varala at Girls Hostel Washroom. Kindly action edunga.,Water and Plumbing,ta_en,0,,CMP-02569,0.774,CMP-02569|CMP-00665|CMP-03080|CMP-01646|CMP-00656,,0,0
CMP-00224,2026-01-03 13:12:00,ஆய்வக உபகரணம் வேலை செய்யவில்லை பிரச்சனை C-101 இடத்தில் உள்ளது.,Classroom and Laboratory,ta,0,,CMP-01485,0.5124,CMP-01485|CMP-02733|CMP-01646|CMP-02929|CMP-01073,,0,0
CMP-02322,2026-01-03 13:54:00,There is a problem because there is a broken glass panel at Library Entrance.,Safety and Security,en,0,,CMP-01472,0.5992,CMP-01472|CMP-01416|CMP-03012|CMP-01053|CMP-01107,,0,0
CMP-02258,2026-01-03 15:08:00,Engineering Block பகுதியில் படிக்கட்டு கைப்பிடி தளர்வாக உள்ளது. தயவுசெய்து சரிசெய்யவும்.,Safety and Security,ta,0,,CMP-01073,0.6858,CMP-01073|CMP-01416|CMP-02635|CMP-02733|CMP-02322,,0,0
CMP-02742,2026-01-03 17:10:00,"Library Entrance la unauthorized person hostel area la vandhirukanga, immediate ah solve pannunga.",Safety and Security,ta_en,0,,CMP-00642,0.6578,CMP-00642|CMP-00665|CMP-01053|CMP-01501|CMP-02569,,0,0
CMP-00686,2026-01-03 18:32:00,"Student Service Centre la scholarship status update aagala, immediate ah solve pannunga.",Administration and Documents,ta_en,0,,CMP-01485,0.5311,CMP-01485|CMP-00642|CMP-02742|CMP-03012|CMP-02888,,0,0
CMP-03605,2026-01-03 19:20:00,Urgent attention is needed because the scholarship application status is not updated in Accounts Office.,Administration and Documents,en,1,CMP-02261,CMP-03012,0.4835,CMP-03012|CMP-03080|CMP-03802|CMP-00686|CMP-02888,,0,0
CMP-00355,2026-01-03 19:59:00,Scholarship Office இல் கட்டண செலுத்துதல் தளத்தில் புதுப்பிக்கப்படவில்லை. உடனடியாக நடவடிக்கை எடுக்கவும்.,Administration and Documents,ta,0,,CMP-03605,0.5333,CMP-03605|CMP-00686|CMP-03012|CMP-01991|CMP-02888,,0,0
CMP-01515,2026-01-03 20:38:00,கழிவறை குழாய் உடைந்துள்ளது பிரச்சனை Hostel Block C இடத்தில் உள்ளது.,Water and Plumbing,ta,0,,CMP-03772,0.7458,CMP-03772|CMP-01053|CMP-01472|CMP-02258|CMP-00224,,0,0
CMP-03701,2026-01-03 23:57:00,C-101 area la lab equipment work aagala.,Classroom and Laboratory,ta_en,1,CMP-00224,CMP-00195,0.668,CMP-00195|CMP-01485|CMP-02861|CMP-00224|CMP-02733,4.0,0,1
CMP-03386,2026-01-04 07:42:00,"Engineering Block la pipe la water leak aagudhu, immediate ah solve pannunga.",Water and Plumbing,ta_en,1,CMP-02635,CMP-00665,0.6795,CMP-00665|CMP-02635|CMP-01073|CMP-02258|CMP-01485,2.0,0,1
CMP-02465,2026-01-04 08:51:00,உணவின் தரம் மோசமாக உள்ளது பிரச்சனை North Canteen இடத்தில் உள்ளது.,Food and Canteen,ta,0,,CMP-01623,0.8133,CMP-01623|CMP-02039|CMP-02238|CMP-01515|CMP-03080,,0,0
CMP-01639,2026-01-04 09:56:00,I want to report that the room has a damaged window in Hostel Room 214.,Hostel and Accommodation,en,0,,CMP-01472,0.9504,CMP-01472|CMP-01501|CMP-01053|CMP-03772|CMP-01515,,0,0
CMP-00078,2026-01-04 12:34:00,Central Library இல் ஈஆர்பி உள்நுழைவு தோல்வியடைந்தது. உடனடியாக நடவடிக்கை எடுக்கவும்.,Wi-Fi and IT Services,ta,0,,CMP-00355,0.5513,CMP-00355|CMP-02733|CMP-01623|CMP-02742|CMP-00642,,0,0
CMP-01567,2026-01-04 12:53:00,I want to report that the mattress is damaged in Boys Hostel Block B.,Hostel and Accommodation,en,0,,CMP-03772,0.793,CMP-03772|CMP-01639|CMP-01472|CMP-01053|CMP-01501,,0,0
CMP-03689,2026-01-04 15:27:00,classroom ventilation poor ah iruku at Electronics Laboratory. Kindly action edunga.,Classroom and Laboratory,ta_en,1,CMP-02929,CMP-01646,0.859,CMP-01646|CMP-02569|CMP-01416|CMP-02861|CMP-00195,,0,0
CMP-02576,2026-01-04 15:34:00,Hostel Block B இல் மின்பலகையின் அருகில் தண்ணீர் கசிகிறது. உடனடியாக நடவடிக்கை எடுக்கவும்.,Safety and Security,ta,0,,CMP-00665,0.7028,CMP-00665|CMP-01515|CMP-01068|CMP-03772|CMP-02569,,0,0
CMP-01364,2026-01-04 16:14:00,North Canteen area la food hygiene illa.,Food and Canteen,ta_en,0,,CMP-02465,0.7727,CMP-02465|CMP-01623|CMP-02238|CMP-02039|CMP-03080,,0,0
CMP-03354,2026-01-04 16:56:00,மின்விசிறி வேலை செய்யவில்லை பிரச்சனை Computer Laboratory இடத்தில் உள்ளது.,Electrical and Power,ta,1,CMP-00195,CMP-02733,0.8477,CMP-02733|CMP-01416|CMP-02929|CMP-00195|CMP-03701,4.0,0,1
CMP-00930,2026-01-04 18:04:00,Girls Hostel Block B பகுதியில் மெத்தை சேதமடைந்துள்ளது. தயவுசெய்து சரிசெய்யவும்.,Hostel and Accommodation,ta,0,,CMP-01515,0.6899,CMP-01515|CMP-03772|CMP-02576|CMP-01567|CMP-00656,,0,0
CMP-02224,2026-01-04 18:15:00,Student Service Centre la marksheet correction pending la iruku. Please check pannunga.,Administration and Documents,ta_en,0,,CMP-00686,0.6363,CMP-00686|CMP-00642|CMP-00078|CMP-00355|CMP-01991,,0,0
CMP-01348,2026-01-04 18:34:00,Examination Cell la fee payment portal la update aagala. Please check pannunga.,Administration and Documents,ta_en,0,,CMP-02224,0.5727,CMP-02224|CMP-00642|CMP-00686|CMP-01485|CMP-03701,,0,0
CMP-00437,2026-01-04 19:07:00,I want to report that the classroom has poor ventilation in C-305.,Classroom and Laboratory,en,0,,CMP-01646,0.8441,CMP-01646|CMP-03689|CMP-01639|CMP-01472|CMP-01515,,0,0
CMP-02963,2026-01-04 19:20:00,I want to report that the bus is overcrowded in Route 1 Bus Stop.,Transport and Parking,en,0,,CMP-02766,0.676,CMP-02766|CMP-00402|CMP-03549|CMP-02141|CMP-02465,,0,0
CMP-00716,2026-01-04 20:53:00,Hostel Block A la switch damage aagiruku. Please check pannunga.,Electrical and Power,ta_en,0,,CMP-01501,0.7436,CMP-01501|CMP-01515|CMP-01567|CMP-03772|CMP-00656,,0,0
CMP-03649,2026-01-05 00:03:00,There is a problem because the washroom tap is broken at Girls Hostel Washroom.,Water and Plumbing,en,1,CMP-01068,CMP-01068,0.6799,CMP-01068|CMP-02569|CMP-01472|CMP-00665|CMP-01639,1.0,1,1
CMP-03796,2026-01-05 01:40:00,Please check the scholarship application status is not updated at Accounts Office.,Administration and Documents,en,1,CMP-01991,CMP-03605,0.7595,CMP-03605|CMP-00355|CMP-03012|CMP-00686|CMP-03802,,0,0
CMP-03419,2026-01-05 07:35:00,I want to report that water is leaking near an electrical panel in Engineering Block.,Safety and Security,en,1,CMP-02258,CMP-02635,0.7534,CMP-02635|CMP-03386|CMP-02733|CMP-01073|CMP-02258,5.0,0,1
CMP-01816,2026-01-05 09:30:00,Parking Area la campus street light work aagala. Please check pannunga.,Safety and Security,ta_en,0,,CMP-02141,0.5883,CMP-02141|CMP-03549|CMP-00716|CMP-00642|CMP-02224,,0,0
CMP-00580,2026-01-05 09:42:00,C-305 பகுதியில் மின்விசிறி வேலை செய்யவில்லை. தயவுசெய்து சரிசெய்யவும்.,Electrical and Power,ta,0,,CMP-00224,0.7549,CMP-00224|CMP-02733|CMP-01515|CMP-03354|CMP-02258,,0,0
CMP-01737,2026-01-05 10:23:00,Urgent attention is needed because the electrical switch is damaged in Engineering Block.,Electrical and Power,en,0,,CMP-02258,0.5996,CMP-02258|CMP-02733|CMP-01053|CMP-01073|CMP-00716,,0,0
CMP-01700,2026-01-05 11:39:00,Urgent attention is needed because an unauthorized person entered the hostel area in Campus Road.,Safety and Security,en,0,,CMP-02742,0.6478,CMP-02742|CMP-01053|CMP-00930|CMP-00716|CMP-01515,,0,0
CMP-01607,2026-01-05 13:54:00,Please check the scholarship application status is not updated at Scholarship Office.,Administration and Documents,en,0,,CMP-03796,0.9266,CMP-03796|CMP-03605|CMP-00355|CMP-03012|CMP-00686,,0,0
CMP-01844,2026-01-05 16:57:00,Computer Laboratory area la AC work aagala.,Classroom and Laboratory,ta_en,0,,CMP-03701,0.7609,CMP-03701|CMP-00195|CMP-03354|CMP-02733|CMP-02861,,0,0
CMP-01663,2026-01-05 19:32:00,Library Washroom area la waste area pakkathula bad smell iruku.,Cleanliness and Waste,ta_en,0,,CMP-02569,0.695,CMP-02569|CMP-01646|CMP-00665|CMP-01068|CMP-03689,,0,0
CMP-02038,2026-01-05 19:53:00,Computer Laboratory la current supply illa. Please check pannunga.,Electrical and Power,ta_en,0,,CMP-00195,0.8307,CMP-00195|CMP-01844|CMP-03701|CMP-03354|CMP-02733,,0,0
CMP-02971,2026-01-05 20:05:00,Hostel Block A area la internet romba slow ah iruku.,Wi-Fi and IT Services,ta_en,0,,CMP-01107,0.6863,CMP-01107|CMP-00716|CMP-00930|CMP-02742|CMP-01515,,0,0
CMP-03574,2026-01-06 08:38:00,"Hostel Block C la toilet block aagiruku, immediate ah solve pannunga.",Water and Plumbing,ta_en,1,CMP-01515,CMP-00716,0.715,CMP-00716|CMP-00665|CMP-02742|CMP-01515|CMP-02576,4.0,0,1
CMP-03400,2026-01-06 09:35:00,Urgent attention is needed because the projector is not displaying in Computer Laboratory.,Classroom and Laboratory,en,1,CMP-01416,CMP-02929,0.7917,CMP-02929|CMP-03354|CMP-03605|CMP-03080|CMP-02733,,0,0
CMP-00948,2026-01-06 10:07:00,Hostel Block A area la student portal load aagala.,Wi-Fi and IT Services,ta_en,0,,CMP-02971,0.7197,CMP-02971|CMP-00716|CMP-00930|CMP-03574|CMP-02742,,0,0
CMP-02218,2026-01-06 11:06:00,glass panel broken ah iruku at Campus Road. Kindly action edunga.,Safety and Security,ta_en,0,,CMP-02322,0.7027,CMP-02322|CMP-01501|CMP-01416|CMP-02258|CMP-01472,,0,0
CMP-01777,2026-01-06 11:26:00,Hostel Block B பகுதியில் ஈஆர்பி உள்நுழைவு தோல்வியடைந்தது. தயவுசெய்து சரிசெய்யவும்.,Wi-Fi and IT Services,ta,0,,CMP-01515,0.8308,CMP-01515|CMP-00930|CMP-03772|CMP-00716|CMP-02576,,0,0
CMP-02076,2026-01-06 12:55:00,வாகனம் வளாக நுழைவாயிலை மறைத்துள்ளது பிரச்சனை Route 1 Bus Stop இடத்தில் உள்ளது.,Transport and Parking,ta,0,,CMP-02766,0.8059,CMP-02766|CMP-02963|CMP-00402|CMP-02141|CMP-03549,,0,0
CMP-02909,2026-01-06 13:03:00,வைஃபை வேலை செய்யவில்லை பிரச்சனை Hostel Block A இடத்தில் உள்ளது.,Wi-Fi and IT Services,ta,0,,CMP-01777,0.868,CMP-01777|CMP-01515|CMP-03772|CMP-00948|CMP-00930,,0,0
CMP-03833,2026-01-06 14:06:00,C-305 la current supply illa. Please check pannunga.,Electrical and Power,ta_en,1,CMP-00580,CMP-02038,0.7373,CMP-02038|CMP-01485|CMP-03701|CMP-00195|CMP-01348,,0,0
CMP-01618,2026-01-06 14:51:00,campus street light work aagala at Hostel Block B. Kindly action edunga.,Safety and Security,ta_en,0,,CMP-01816,0.7366,CMP-01816|CMP-00656|CMP-00716|CMP-00948|CMP-01777,,0,0
CMP-00530,2026-01-06 16:41:00,I want to report that the campus street light is not working in Campus Road.,Safety and Security,en,0,,CMP-01816,0.6411,CMP-01816|CMP-01618|CMP-03012|CMP-02141|CMP-02218,,0,0
CMP-01587,2026-01-06 17:52:00,There is a problem because the ID card request is delayed at Accounts Office.,Administration and Documents,en,0,,CMP-02261,0.8688,CMP-02261|CMP-02888|CMP-01991|CMP-03605|CMP-03802,,0,0
CMP-00887,2026-01-06 20:10:00,"Hostel Room 214 la window damage aagiruku, immediate ah solve pannunga.",Hostel and Accommodation,ta_en,0,,CMP-01472,0.803,CMP-01472|CMP-00716|CMP-01639|CMP-01501|CMP-03574,,0,0
CMP-00476,2026-01-06 20:14:00,There is a problem because a vehicle is blocking the campus entrance at Route 3 Bus Stop.,Transport and Parking,en,0,,CMP-02141,0.9284,CMP-02141|CMP-02076|CMP-02766|CMP-00402|CMP-02963,,0,0
CMP-01292,2026-01-06 20:35:00,Urgent attention is needed because the washroom tap is broken in Hostel Block A.,Water and Plumbing,en,0,,CMP-03649,0.8032,CMP-03649|CMP-01053|CMP-00665|CMP-02576|CMP-03080,,0,0
CMP-03436,2026-01-07 09:03:00,Hostel Block A area la washroom tap broken ah iruku.,Water and Plumbing,ta_en,1,CMP-01292,CMP-01292,0.7746,CMP-01292|CMP-03649|CMP-02909|CMP-03772|CMP-02569,1.0,1,1
CMP-03756,2026-01-07 09:40:00,உணவு சுகாதாரமற்றதாக உள்ளது பிரச்சனை North Canteen இடத்தில் உள்ளது.,Food and Canteen,ta,1,CMP-01364,CMP-02465,0.9574,CMP-02465|CMP-01623|CMP-02039|CMP-01364|CMP-02238,4.0,0,1
CMP-02765,2026-01-07 09:47:00,Urgent attention is needed because the classroom bench is broken in AI Laboratory.,Classroom and Laboratory,en,0,,CMP-01416,0.6856,CMP-01416|CMP-01292|CMP-03400|CMP-01737|CMP-01053,,0,0
CMP-03591,2026-01-07 10:39:00,Boys Hostel Block B பகுதியில் மெத்தை சேதமடைந்துள்ளது. தயவுசெய்து சரிசெய்யவும்.,Hostel and Accommodation,ta,1,CMP-01567,CMP-01777,0.8515,CMP-01777|CMP-03772|CMP-00930|CMP-02909|CMP-01515,,0,0
CMP-02517,2026-01-07 11:11:00,Electronics Laboratory பகுதியில் ப்ரொஜெக்டர் காட்சி அளிக்கவில்லை. தயவுசெய்து சரிசெய்யவும்.,Classroom and Laboratory,ta,0,,CMP-02733,0.853,CMP-02733|CMP-03354|CMP-01844|CMP-03701|CMP-00195,,0,0
CMP-02368,2026-01-07 11:42:00,Please check the campus bus arrived late at Route 2 Bus Stop.,Transport and Parking,en,0,,CMP-02141,0.7667,CMP-02141|CMP-00402|CMP-00476|CMP-02076|CMP-02766,,0,0
CMP-03878,2026-01-07 12:12:00,Urgent attention is needed because the bus is overcrowded in Route 1 Bus Stop.,Transport and Parking,en,1,CMP-02076,CMP-02963,0.8923,CMP-02963|CMP-02076|CMP-02766|CMP-00476|CMP-02368,2.0,0,1
CMP-01982,2026-01-07 13:08:00,Urgent attention is needed because there is a bad smell near the waste area in Library Washroom.,Cleanliness and Waste,en,0,,CMP-01663,0.8436,CMP-01663|CMP-02569|CMP-01292|CMP-03080|CMP-00437,,0,0
CMP-01994,2026-01-07 13:23:00,Campus Road பகுதியில் வளாக தெருவிளக்கு வேலை செய்யவில்லை. தயவுசெய்து சரிசெய்யவும்.,Safety and Security,ta,0,,CMP-00530,0.6298,CMP-00530|CMP-01816|CMP-00476|CMP-01618|CMP-02141,,0,0
CMP-02290,2026-01-07 13:24:00,Hostel Room 312 இல் அறை கதவு பூட்டு உடைந்துள்ளது. உடனடியாக நடவடிக்கை எடுக்கவும்.,Hostel and Accommodation,ta,0,,CMP-01472,0.7457,CMP-01472|CMP-01639|CMP-02909|CMP-00887|CMP-01777,,0,0
CMP-01829,2026-01-07 14:26:00,Please check the room door lock is broken at Girls Hostel Block A.,Hostel and Accommodation,en,0,,CMP-01053,0.8162,CMP-01053|CMP-00930|CMP-03772|CMP-03436|CMP-02909,,0,0
CMP-02700,2026-01-07 15:17:00,Route 1 Bus Stop பகுதியில் வளாக பேருந்து தாமதமாக வந்தது. தயவுசெய்து சரிசெய்யவும்.,Transport and Parking,ta,0,,CMP-02076,0.9113,CMP-02076|CMP-02766|CMP-02963|CMP-00476|CMP-03878,,0,0
CMP-00469,2026-01-07 15:29:00,College Entrance area la bus route notice illama change pannitanga.,Transport and Parking,ta_en,0,,CMP-03549,0.8218,CMP-03549|CMP-02141|CMP-01816|CMP-02076|CMP-00476,,0,0
CMP-01722,2026-01-07 15:47:00,Urgent attention is needed because the bus is overcrowded in Route 3 Bus Stop.,Transport and Parking,en,0,,CMP-03878,0.9232,CMP-03878|CMP-02963|CMP-02700|CMP-00476|CMP-02766,,0,0
CMP-03091,2026-01-07 16:50:00,Student Service Centre பகுதியில் பொனஃபைடு சான்றிதழ் கோரிக்கை நிலுவையில் உள்ளது. தயவுசெய்து சரிசெய்யவும்.,Administration and Documents,ta,1,CMP-02224,CMP-01994,0.6325,CMP-01994|CMP-01991|CMP-02224|CMP-03591|CMP-00930,3.0,0,1
CMP-03391,2026-01-07 18:33:00,I want to report that the Wi-Fi is not working in Hostel Block A.,Wi-Fi and IT Services,en,1,CMP-00948,CMP-02909,0.666,CMP-02909|CMP-01777|CMP-00948|CMP-02971|CMP-00716,3.0,0,1
CMP-00214,2026-01-07 18:56:00,I want to report that the water tank is overflowing in Engineering Block.,Water and Plumbing,en,0,,CMP-02635,0.9203,CMP-02635|CMP-03419|CMP-03386|CMP-01073|CMP-02258,,0,0
CMP-00188,2026-01-07 19:29:00,I want to report that the drinking water dispenser is not working in North Canteen.,Food and Canteen,en,0,,CMP-03080,0.7889,CMP-03080|CMP-03756|CMP-02039|CMP-01623|CMP-02465,,0,0
CMP-03883,2026-01-07 19:41:00,Girls Hostel Block A பகுதியில் அறை கதவு பூட்டு உடைந்துள்ளது. தயவுசெய்து சரிசெய்யவும்.,Hostel and Accommodation,ta,1,CMP-01829,CMP-00930,0.9439,CMP-00930|CMP-01829|CMP-02909|CMP-01777|CMP-03591,2.0,0,1
CMP-03187,2026-01-07 21:47:00,glass panel broken ah iruku at Campus Road. Kindly action edunga.,Safety and Security,ta_en,1,CMP-01994,CMP-02218,1.0,CMP-02218|CMP-02322|CMP-01501|CMP-01618|CMP-03436,,0,0
CMP-03556,2026-01-08 03:56:00,Please check the laboratory computer cannot access the network at Hostel Block A.,Wi-Fi and IT Services,en,1,CMP-02971,CMP-03391,0.6796,CMP-03391|CMP-02909|CMP-00948|CMP-02971|CMP-01777,4.0,0,1
CMP-03788,2026-01-08 04:07:00,Scholarship Office இல் உதவித்தொகை நிலை புதுப்பிக்கப்படவில்லை. உடனடியாக நடவடிக்கை எடுக்கவும்.,Administration and Documents,ta,1,CMP-01607,CMP-00355,0.9409,CMP-00355|CMP-01607|CMP-00078|CMP-03796|CMP-03605,2.0,0,1
CMP-00086,2026-01-08 08:30:00,AI Laboratory இல் வைஃபை வேலை செய்யவில்லை. உடனடியாக நடவடிக்கை எடுக்கவும்.,Wi-Fi and IT Services,ta,0,,CMP-02517,0.6432,CMP-02517|CMP-03354|CMP-02765|CMP-02733|CMP-03400,,0,0
CMP-02419,2026-01-08 10:21:00,Library Entrance இல் கண்ணாடி பலகம் உடைந்துள்ளது. உடனடியாக நடவடிக்கை எடுக்கவும்.,Safety and Security,ta,0,,CMP-00078,0.7376,CMP-00078|CMP-02322|CMP-02742|CMP-02576|CMP-02290,,0,0
CMP-01553,2026-01-08 10:34:00,Girls Hostel Block B இல் ஜன்னல் சேதமடைந்துள்ளது. உடனடியாக நடவடிக்கை எடுக்கவும்.,Hostel and Accommodation,ta,0,,CMP-00930,0.8754,CMP-00930|CMP-03883|CMP-01777|CMP-01829|CMP-03591,,0,0
CMP-02334,2026-01-08 10:40:00,I want to report that the student portal is not loading in Central Library.,Wi-Fi and IT Services,en,0,,CMP-03012,0.9586,CMP-03012|CMP-03802|CMP-00642|CMP-03796|CMP-01607,,0,0
CMP-03145,2026-01-08 10:59:00,Urgent attention is needed because the bus is overcrowded in College Entrance.,Transport and Parking,en,1,CMP-00469,CMP-03878,0.8414,CMP-03878|CMP-01722|CMP-02963|CMP-01700|CMP-00476,,0,0
CMP-00960,2026-01-08 15:13:00,Academic Office இல் கட்டண செலுத்துதல் தளத்தில் புதுப்பிக்கப்படவில்லை. உடனடியாக நடவடிக்கை எடுக்கவும்.,Administration and Documents,ta,0,,CMP-00355,0.8436,CMP-00355|CMP-03788|CMP-00078|CMP-03091|CMP-02224,,0,0
